Fnx-mem0754 2 38 30.93 -34 56 53.90 20.178 18.576 16.933 15.735 15.030 14.840 32.8 0.29 m0754
Fnx-mem0779 2 37 42.52 -34 58 30.20 19.777 18.470 17.083 ---    ---    ---    69.7 0.59 m0779
Fnx-rgb0507 2 38 19.28 -34 36 00.60 19.971 18.535 17.213 16.005 15.373 15.186 50.2 0.33 r0507
Fnx-rgb0509 2 38 21.30 -34 36 18.10 20.142 18.516 16.633 15.348 14.608 14.389 83.8 0.46 r0509
Fnx-rgb0510 2 37 48.40 -34 36 21.90 20.287 18.504 16.941 15.652 14.949 14.733 51.6 0.71      
Fnx-rgb0522 2 38 02.66 -34 37 03.30 19.807 18.517 17.154 16.162 15.574 15.398 62.6 1.45 r0522
Fnx-rgb0536 2 38 19.73 -34 38 53.80 20.508 18.604 17.104 15.603 14.879 14.606 46.3 0.85      
Fnx-rgb0539 2 38 46.77 -34 39 24.70 20.082 18.524 16.960 15.754 15.003 14.796 51.0 0.38 r0539
Fnx-rgb0553 2 38 25.17 -34 41 23.90 20.284 18.655 17.033 15.877 15.127 14.917 66.3 0.81 r0553
Fnx-rgb0556 2 38 34.99 -34 41 37.80 20.254 18.716 17.151 16.015 15.286 15.107 43.5 0.80 r0556
Fnx-rgb0561 2 38 34.98 -34 42 40.50 20.039 18.539 17.004 15.866 15.170 14.962 47.2 0.39 r0561
Fnx-rgb0574 2 38 41.08 -34 44 20.10 19.672 18.157 16.653 15.509 14.812 14.600 49.2 0.20 r0574
Fnx-rgb0590 2 38 13.90 -34 46 55.20 20.057 18.763 17.452 16.392 15.801 15.646 63.1 1.01 r0590
Fnx-rgb0596 2 38 30.85 -34 47 44.10 19.847 18.697 17.383 16.498 15.965 15.830 28.6 1.15 r0596
Fnx-rgb0614 2 37 47.30 -34 54 30.50 19.841 18.448 16.592 15.407 14.793 14.622  4.6 0.00      
